date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:09:52	101132/101132	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1693242863;gz%22	http://caseybuilt.local/wp-content/cache/minify/1e62c.js	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/cache/minify/1e62c.js	(from http://caseybuilt.local/)
21:09:54	804/804	---MCZ	200	added ('OK')	text/xml	date:Wed,%2021%20Jan%202026%2021:09:53%20GMT	http://caseybuilt.local/xmlrpc.php?rsd	C:/My%20Web%20Sites/casey/caseybuilt.local/xmlrpc0db0.php	(from http://caseybuilt.local/)
21:09:54	96984/96984	---MCZ	200	added ('OK')	application/json	date:Wed,%2021%20Jan%202026%2021:09:52%20GMT	http://caseybuilt.local/wp-json/wp/v2/pages/28	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-json/wp/v2/pages/28.json	(from http://caseybuilt.local/)
21:09:54	34494/34494	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2269713fb5-86be%22	http://caseybuilt.local/wp-content/themes/genesis-sample/images/favicon.ico	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/themes/genesis-sample/images/favicon.ico	(from http://caseybuilt.local/)
21:09:54	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2021%20Jan%202026%2021:09:54%20GMT	http://caseybuilt.local/xmlrpc.php	C:/My%20Web%20Sites/casey/caseybuilt.local/xmlrpc.php	(from http://caseybuilt.local/)
21:09:55	1030/1030	---MCZ	200	added ('OK')	text/css	etag:W/%22f0a0ed67c25a37fb4e47d76a2434d7f5%22	https://assets.mlcdn.com/fonts.css?version=1762785	C:/My%20Web%20Sites/casey/assets.mlcdn.com/fonts8a76.css	(from http://caseybuilt.local/)
21:09:55	329023/329023	---MCZ	200	added ('OK')	application/json	date:Wed,%2021%20Jan%202026%2021:09:52%20GMT	http://caseybuilt.local/wp-json/	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-json/index.html	(from http://caseybuilt.local/)
21:09:55	839/839	---M--	200	added ('OK')	image/png	etag:%22c4a631296fac3c439454a3eb7405f7f5%22	https://assets.mlcdn.com/ml/images/default/modal_close.png	C:/My%20Web%20Sites/casey/assets.mlcdn.com/ml/images/default/modal_close.png	(from http://caseybuilt.local/)
21:09:55	12354/12354	---MCZ	200	added ('OK')	application/javascript	etag:W/%226968da79-3042%22	https://groot.mailerlite.com/js/w/webforms.min.js?v176e10baa5e7ed80d35ae235be3d5024	C:/My%20Web%20Sites/casey/groot.mailerlite.com/js/w/webforms.min296b.js	(from http://caseybuilt.local/)
21:09:56	3676/3676	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1769029557;gz%22	http://caseybuilt.local/wp-content/cache/minify/4c247.js	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/cache/minify/4c247.js	(from http://caseybuilt.local/)
21:09:56	40647/40647	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1769029479;gz%22	http://caseybuilt.local/wp-content/cache/minify/ee7f2.js	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/cache/minify/ee7f2.js	(from http://caseybuilt.local/)
21:09:56	7462/7462	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1769029543;gz%22	http://caseybuilt.local/wp-content/cache/minify/ea78a.js	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/cache/minify/ea78a.js	(from http://caseybuilt.local/)
21:09:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2021%20Jan%202026%2021:09:57%20GMT	http://caseybuilt.local/${r}	C:/My%20Web%20Sites/casey/caseybuilt.local/${r}	(from http://caseybuilt.local/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js)
21:09:57	145141/145141	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jan%202026%2021:09:57%20GMT	http://caseybuilt.local/r	C:/My%20Web%20Sites/casey/caseybuilt.local/r	(from http://caseybuilt.local/wp-content/plugins/w3-total-cache/pub/js/lazyload.min.js)
21:09:59	6737/6737	---M-Z	200	added ('OK')	application/x-javascript	etag:%22pub1769029557;gz%22	http://caseybuilt.local/wp-content/cache/minify/486d7.js	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-content/cache/minify/486d7.js	(from http://caseybuilt.local/)
21:09:59	145141/145141	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jan%202026%2021:09:59%20GMT	http://caseybuilt.local/GET	C:/My%20Web%20Sites/casey/caseybuilt.local/GET.16.delayed	(from http://caseybuilt.local/wp-content/cache/minify/ee7f2.js)
21:10:00	56564/56564	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f11dba7-dcf4%22	http://caseybuilt.local/wp-includes/fonts/dashicons.eot?99ac726223c749443b642ce33df8b800	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-includes/fonts/dashicons7d4b.eot	(from http://caseybuilt.local/wp-content/cache/minify/fffb7.css)
21:10:01	145141/145141	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jan%202026%2021:10:00%20GMT	http://caseybuilt.local/placeholder.jpg	C:/My%20Web%20Sites/casey/caseybuilt.local/placeholder.jpg	(from http://caseybuilt.local/wp-content/cache/minify/ee7f2.js)
21:10:02	145141/145141	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jan%202026%2021:10:01%20GMT	http://caseybuilt.local/POST	C:/My%20Web%20Sites/casey/caseybuilt.local/POST	(from http://caseybuilt.local/wp-content/cache/minify/ee7f2.js)
21:10:02	56392/56392	---M--	200	added ('OK')	application/font-sfnt	etag:%225f11dba7-dc48%22	http://caseybuilt.local/wp-includes/fonts/dashicons.ttf?99ac726223c749443b642ce33df8b800	C:/My%20Web%20Sites/casey/caseybuilt.local/wp-includes/fonts/dashicons7d4b.ttf	(from http://caseybuilt.local/wp-content/cache/minify/fffb7.css)
21:10:03	145141/145141	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2021%20Jan%202026%2021:10:03%20GMT	http://caseybuilt.local/window.location.href	C:/My%20Web%20Sites/casey/caseybuilt.local/window.location.href	(from http://caseybuilt.local/wp-content/cache/minify/ee7f2.js)
